"Grant.Application.ID"	"RFCD.Code"	"RFCD.Percentage"	"SEO.Code"	"SEO.Percentage"	"Person.ID"	"Role"	"Year.of.Birth"	"Country.of.Birth"	"Home.Language"	"Dept.No."	"Faculty.No."	"With.PHD"	"No..of.Years.in.Uni.at.Time.of.Grant"	"Number.of.Successful.Grant"	"Number.of.Unsuccessful.Grant"	"A."	"A"	"B"	"C"
4829	"RFCD250301"	15	NA	NA	132312	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4830	"RFCD280109"	30	"SEO770101"	40	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4831	"RFCD270703"	40	"SEO780105"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4832	"RFCD250107"	40	"SEO780103"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4833	"RFCD240302"	40	NA	NA	811982	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4834	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4835	"RFCD280109"	30	"SEO770101"	40	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4836	"RFCD240502"	30	"SEO660504"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4837	NA	NA	NA	NA	30422	"PRINCIPAL_SUPERVISOR"	"1955"	"GreatBritain"	NA	"Dept2558"	"Faculty25"	"Yes "	"Duration0to5"	0	0	0	0	0	0
4838	"RFCD320206"	30	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4839	"RFCD270708"	15	"SEO670602"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4841	"RFCD321204"	60	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4842	"RFCD321204"	60	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4844	NA	NA	NA	NA	74312	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2298"	"Faculty46"	"Yes "	"Duration10to15"	0	0	0	0	0	0
4849	"RFCD320205"	10	"SEO730102"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4853	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4854	"RFCD321204"	30	"SEO730219"	25	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4855	"RFCD321202"	40	"SEO730209"	30	713202	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4856	NA	NA	NA	NA	78817	"CHIEF_INVESTIGATOR"	"1950"	"WesternEurope"	NA	"Dept2713"	"Faculty25"	"Yes "	"DurationGT15"	3	7	0	0	0	0
4857	"RFCD380106"	50	"SEO730306"	50	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4858	NA	NA	NA	NA	72037	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration5to10"	3	8	0	0	0	0
4859	"RFCD260602"	10	NA	NA	75447	"CHIEF_INVESTIGATOR"	"1935"	"Australia"	NA	"Dept2103"	"Faculty19"	""	"Duration0to5"	1	0	0	0	0	0
4860	"RFCD260599"	50	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4861	NA	NA	NA	NA	111192	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	"OtherLang"	"Dept1098"	"Faculty1"	"Yes "	"Duration0to5"	0	5	0	0	0	0
4863	NA	NA	"SEO730215"	20	73402	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept3268"	"Faculty31"	"Yes "	"Duration10to15"	3	3	0	0	0	0
4864	"RFCD321204"	30	NA	NA	115867	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	1	0	0	0	0	0
4865	"RFCD321004"	30	NA	NA	89467	"PRINCIPAL_SUPERVISOR"	"1960"	"NewZealand"	NA	"Dept2678"	"Faculty25"	""	"DurationUnk"	2	3	0	0	0	0
4866	"RFCD270210"	30	"SEO730203"	30	115007	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration0to5"	1	0	0	0	0	0
4868	NA	NA	NA	NA	723252	"CHIEF_INVESTIGATOR"	"1985"	NA	NA	"Dept2603"	"Faculty25"	""	"Duration0to5"	1	0	0	0	0	0
4869	"RFCD321216"	20	"SEO730211"	40	9417	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration5to10"	0	1	1	5	0	1
4870	NA	NA	NA	NA	22812	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration5to10"	1	2	0	0	0	0
4871	"RFCD260502"	20	"SEO760201"	30	68437	"CHIEF_INVESTIGATOR"	"1950"	"TheAmericas"	NA	"Dept2103"	"Faculty19"	"Yes "	"DurationGT15"	0	1	0	0	0	0
4872	"RFCD321004"	30	NA	NA	147857	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2678"	"Faculty25"	""	"DurationLT0"	1	8	0	0	0	0
4874	"RFCD320202"	30	"SEO730108"	40	29032	"DELEGATED_RESEARCHER"	"1965"	"Australia"	NA	"Dept2763"	"Faculty25"	""	"DurationLT0"	0	1	0	0	0	0
4875	"RFCD321022"	40	NA	NA	73087	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2773"	"Faculty25"	"Yes "	"Duration5to10"	0	0	0	0	0	0
4877	"RFCD270102"	30	"SEO730101"	20	87917	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	NA	"Dept2653"	"Faculty25"	"Yes "	"Duration0to5"	3	0	0	0	0	0
4880	"RFCD300204"	50	NA	NA	32717	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept3028"	"Faculty31"	"Yes "	"Duration5to10"	0	0	0	0	0	0
4881	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4882	NA	NA	NA	NA	110612	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4883	"RFCD320702"	50	"SEO780105"	50	55437	"CHIEF_INVESTIGATOR"	"1940"	"GreatBritain"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration0to5"	3	9	0	0	0	0
4884	NA	NA	"SEO730102"	25	18592	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2768"	"Faculty25"	""	"Duration5to10"	0	1	0	0	0	0
4886	"RFCD321208"	50	"SEO730207"	50	38562	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4888	"RFCD320201"	10	"SEO730102"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4889	"RFCD321202"	50	"SEO730211"	50	84627	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2973"	"Faculty25"	"Yes "	"Duration0to5"	0	6	0	0	0	0
4890	NA	NA	"SEO730110"	50	5702	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2853"	"Faculty25"	""	"Duration10to15"	2	2	0	0	0	0
4893	"RFCD270103"	30	"SEO730113"	50	73942	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2728"	"Faculty25"	"Yes "	"Duration10to15"	3	1	0	0	0	0
4894	"RFCD330104"	33	"SEO740401"	33	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4895	"RFCD321017"	10	"SEO730114"	20	78992	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2763"	"Faculty25"	"Yes "	"DurationGT15"	3	1	0	0	0	0
4898	"RFCD270201"	50	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4899	"RFCD321004"	40	"SEO730105"	50	89467	"PRINCIPAL_SUPERVISOR"	"1960"	"NewZealand"	NA	"Dept2678"	"Faculty25"	""	"DurationUnk"	2	3	0	0	0	0
4900	NA	NA	"SEO730113"	50	71867	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"DurationGT15"	3	2	0	1	0	2
4901	NA	NA	"SEO730201"	30	68377	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2893"	"Faculty25"	"Yes "	"DurationGT15"	0	0	0	0	0	0
4903	"RFCD321004"	30	NA	NA	147857	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2678"	"Faculty25"	""	"DurationLT0"	1	9	0	0	0	0
4905	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4908	"RFCD321005"	40	"SEO730204"	40	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4909	"RFCD320704"	50	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4911	"RFCD379999"	40	"SEO730217"	40	63492	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	0	2	0	0	0	0
4912	"RFCD321004"	50	"SEO730106"	50	74162	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration5to10"	2	7	0	0	0	0
4913	"RFCD321003"	20	NA	NA	78752	"CHIEF_INVESTIGATOR"	"1955"	"WesternEurope"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration10to15"	1	4	0	0	0	0
4915	"RFCD321003"	30	"SEO730105"	50	865067	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration0to5"	1	2	0	0	0	0
4916	"RFCD321211"	50	"SEO730203"	25	67152	"CHIEF_INVESTIGATOR"	"1955"	"NewZealand"	NA	"Dept2553"	"Faculty25"	"Yes "	"DurationGT15"	0	0	0	0	0	0
4917	"RFCD270706"	20	"SEO770403"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4918	"RFCD260502"	25	"SEO770802"	25	32592	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2103"	"Faculty19"	""	"DurationUnk"	1	1	0	0	0	0
4919	"RFCD321016"	80	NA	NA	25662	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept3273"	"Faculty31"	"Yes "	"Duration0to5"	2	1	0	1	0	0
4920	"RFCD320602"	50	"SEO730106"	40	865067	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration0to5"	1	2	0	0	0	0
4921	"RFCD291499"	40	"SEO780103"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4922	"RFCD270499"	50	NA	NA	1217	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	"English"	"Dept3028"	"Faculty31"	"Yes "	"DurationGT15"	2	1	0	0	0	0
4923	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4925	"RFCD320704"	50	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4927	"RFCD270106"	50	NA	NA	449137	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2538"	"Faculty25"	"Yes "	"Duration0to5"	0	1	0	0	0	0
4928	"RFCD380399"	40	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4929	NA	NA	NA	NA	75377	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2053"	"Faculty19"	"Yes "	"DurationGT15"	9	2	0	0	0	0
4930	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4931	"RFCD250105"	20	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4932	NA	NA	NA	NA	74492	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	"Yes "	"Duration10to15"	3	4	0	0	0	0
4933	NA	NA	"SEO730102"	50	7452	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2628"	"Faculty25"	""	"Duration5to10"	5	7	0	0	0	0
4935	NA	NA	NA	NA	70602	"DELEGATED_RESEARCHER"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration5to10"	0	0	0	0	0	0
4939	NA	NA	NA	NA	291112	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept1098"	"Faculty1"	""	"DurationLT0"	0	0	0	0	0	0
4940	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4942	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4946	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4947	"RFCD320701"	40	"SEO730104"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4948	"RFCD379902"	25	"SEO760203"	40	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4949	"RFCD321202"	40	"SEO730209"	30	890212	"CHIEF_INVESTIGATOR"	"1945"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4950	NA	NA	NA	NA	9672	"PRINCIPAL_SUPERVISOR"	"1950"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4952	NA	NA	"SEO730203"	20	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4954	"RFCD420306"	30	"SEO750702"	40	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4955	NA	NA	"SEO730204"	25	26107	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2558"	"Faculty25"	"Yes "	"Duration5to10"	2	2	0	0	0	0
4956	"RFCD270603"	20	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4957	"RFCD340202"	20	"SEO760102"	40	147502	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	"English"	"Dept2253"	"Faculty19"	"Yes "	"Duration0to5"	1	4	0	0	0	0
4959	"RFCD320303"	20	"SEO730211"	20	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4960	"RFCD270107"	30	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4961	"RFCD260106"	30	"SEO780104"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4964	"RFCD321204"	50	"SEO750201"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4965	"RFCD320402"	40	"SEO730101"	20	117462	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept1258"	"Faculty34"	"Yes "	"Duration0to5"	0	5	0	0	0	0
4966	"RFCD291702"	40	"SEO671306"	25	19832	"CHIEF_INVESTIGATOR"	"1975"	"AsiaPacific"	NA	"Dept2153"	"Faculty19"	"Yes "	"Duration0to5"	1	0	0	0	0	0
4967	"RFCD330302"	20	NA	NA	80752	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2298"	"Faculty46"	""	"DurationLT0"	0	0	0	0	0	0
4969	"RFCD330107"	40	"SEO749904"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4970	"RFCD250407"	20	NA	NA	88087	"DELEGATED_RESEARCHER"	"1975"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4971	NA	NA	"SEO770906"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4972	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4973	"RFCD330302"	20	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4974	"RFCD321208"	40	NA	NA	8542	"CHIEF_INVESTIGATOR"	"1960"	"WesternEurope"	NA	"Dept2498"	"Faculty25"	"Yes "	"Duration10to15"	1	4	0	0	0	0
4976	NA	NA	NA	NA	714027	"DELEGATED_RESEARCHER"	"1975"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4977	"RFCD321204"	50	"SEO730201"	25	713237	"CHIEF_INVESTIGATOR"	"1980"	"GreatBritain"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	0	1	0	0	0	0
4978	"RFCD321204"	40	"SEO730201"	30	43352	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2923"	"Faculty25"	""	"Duration0to5"	1	1	0	0	0	0
4980	"RFCD321204"	40	"SEO730105"	40	97577	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept2923"	"Faculty25"	""	"DurationUnk"	0	1	0	0	0	0
4982	"RFCD321204"	40	"SEO730105"	40	54322	"CHIEF_INVESTIGATOR"	"1960"	"EasternEurope"	NA	"Dept2923"	"Faculty25"	""	"DurationLT0"	0	2	0	0	0	0
4984	NA	NA	"SEO730304"	60	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4985	"RFCD321012"	40	"SEO730115"	40	78827	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2498"	"Faculty25"	"Yes "	"DurationGT15"	1	1	0	0	0	0
4986	NA	NA	NA	NA	73512	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2553"	"Faculty25"	"Yes "	"Duration0to5"	2	0	0	0	0	0
4987	"RFCD321024"	50	"SEO730303"	50	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4990	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4991	"RFCD270107"	50	"SEO730203"	50	74492	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	"Yes "	"Duration10to15"	4	4	0	0	0	0
4992	"RFCD270208"	30	"SEO770409"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4997	"RFCD321004"	50	"SEO730106"	50	33312	"PRINCIPAL_SUPERVISOR"	"1965"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration5to10"	0	0	0	0	0	0
5003	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5004	"RFCD270107"	25	"SEO730203"	25	493657	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	0	0	0	0	0	0
5006	"RFCD270107"	25	"SEO730203"	25	493657	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	0	0	0	0	0	0
5007	"RFCD321004"	50	"SEO730106"	50	79172	"CHIEF_INVESTIGATOR"	"1955"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
5009	NA	NA	NA	NA	2507	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept1578"	"Faculty13"	"Yes "	"Duration10to15"	1	1	0	0	0	0
5010	"RFCD260602"	30	"SEO780104"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5011	NA	NA	"SEO730108"	10	97182	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2568"	"Faculty25"	"Yes "	"Duration5to10"	0	2	0	0	0	0
5012	"RFCD320206"	50	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5013	NA	NA	NA	NA	57192	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept2053"	"Faculty19"	""	"DurationLT0"	1	1	0	0	0	0
5014	NA	NA	NA	NA	74492	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	"Yes "	"Duration10to15"	4	4	0	0	0	0
5015	NA	NA	NA	NA	631447	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	"Dept2838"	"Faculty25"	""	"DurationLT0"	1	1	0	0	0	0
5017	NA	NA	NA	NA	68817	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration10to15"	1	5	0	0	0	0
5019	"RFCD300704"	15	"SEO630301"	60	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5022	"RFCD321006"	30	"SEO780105"	70	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5023	NA	NA	NA	NA	462	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"Duration5to10"	0	1	1	3	0	1
5024	NA	NA	NA	NA	147252	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3268"	"Faculty31"	""	"Duration0to5"	0	0	0	0	0	0
5025	"RFCD270802"	30	"SEO730217"	30	672142	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	"Dept2763"	"Faculty25"	""	"DurationLT0"	0	1	0	0	0	0
5026	"RFCD321003"	40	"SEO730106"	40	119372	"CHIEF_INVESTIGATOR"	"1970"	"EasternEurope"	"OtherLang"	"Dept2813"	"Faculty25"	"Yes "	"Duration0to5"	1	3	0	0	0	0
5028	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5032	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5033	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5035	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5038	"RFCD321028"	50	"SEO730303"	50	2712	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2563"	"Faculty25"	"Yes "	"Duration10to15"	2	5	0	0	0	0
5039	"RFCD321202"	50	NA	NA	84627	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2973"	"Faculty25"	"Yes "	"Duration0to5"	0	6	0	0	0	0
5040	"RFCD380399"	40	NA	NA	10387	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept1038"	"Faculty1"	"Yes "	"Duration10to15"	2	2	0	0	0	0
5041	"RFCD320305"	50	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
5043	"RFCD321208"	35	"SEO730307"	50	76237	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	"English"	"Dept2923"	"Faculty25"	"Yes "	"Duration10to15"	3	3	0	0	0	0
5044	"RFCD321021"	40	NA	NA	720822	"CHIEF_INVESTIGATOR"	"1970"	"NewZealand"	NA	"Dept2533"	"Faculty25"	"Yes "	"Duration0to5"	0	1	0	0	0	0
5045	NA	NA	NA	NA	22202	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept1258"	"Faculty34"	"Yes "	"Duration0to5"	0	1	0	0	0	0
5046	NA	NA	NA	NA	301472	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2533"	"Faculty25"	"Yes "	"Duration0to5"	6	3	0	0	0	0
5050	NA	NA	NA	NA	127542	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept1678"	"Faculty13"	""	"DurationUnk"	1	0	0	0	0	0
